actual_price,predicted_price,residual,absolute_error,percentage_error,signed_percentage_error,price_band
22885.0,28070.814,-5185.814453125,5185.814453125,22.660320966244267,-22.660320966244267,Low
9990.0,8244.546,1745.4541015625,1745.4541015625,17.472013028653656,17.472013028653656,Low
7499.0,10514.011,-3015.0107421875,3015.0107421875,40.205503963028406,-40.205503963028406,Low
20990.0,18578.285,2411.71484375,2411.71484375,11.48982774535493,11.48982774535493,Low
17990.0,22693.105,-4703.10546875,4703.10546875,26.14288754168983,-26.14288754168983,Low
33990.0,39834.74,-5844.73828125,5844.73828125,17.195464199029125,-17.195464199029125,Mid
24880.0,24692.846,187.154296875,187.154296875,0.7522278813303859,0.7522278813303859,Mid
65990.0,60669.81,5320.19140625,5320.19140625,8.062117603045916,8.062117603045916,High
16995.0,20740.164,-3745.1640625,3745.1640625,22.036858267137394,-22.036858267137394,Low
80988.0,67134.14,13853.859375,13853.859375,17.10606432434435,17.10606432434435,High
94990.0,118906.82,-23916.8203125,23916.8203125,25.178250671123276,-25.178250671123276,High
26880.0,31382.371,-4502.37109375,4502.37109375,16.74989246186756,-16.74989246186756,Mid
57490.0,58484.766,-994.765625,994.765625,1.7303281005392241,-1.7303281005392241,High
119800.0,80025.15,39774.8515625,39774.8515625,33.20104470993322,33.20104470993322,High
24888.0,25914.332,-1026.33203125,1026.33203125,4.123802761370942,-4.123802761370942,Mid
22999.0,23225.854,-226.853515625,226.853515625,0.9863625184790644,-0.9863625184790644,Mid
23990.0,23973.12,16.880859375,16.880859375,0.070366233326386,0.070366233326386,Mid
38990.0,43290.13,-4300.12890625,4300.12890625,11.02879945178251,-11.02879945178251,High
14999.0,16420.904,-1421.904296875,1421.904296875,9.47999397876525,-9.47999397876525,Low
63888.0,79808.47,-15920.46875,15920.46875,24.919341269095916,-24.919341269095916,High
22990.0,19935.428,3054.572265625,3054.572265625,13.286525731296218,13.286525731296218,Mid
21300.0,21870.672,-570.671875,570.671875,2.679210680751174,-2.679210680751174,Low
32990.0,27124.074,5865.92578125,5865.92578125,17.780920828281296,17.780920828281296,Mid
49990.0,47000.895,2989.10546875,2989.10546875,5.979406818863773,5.979406818863773,High
15990.0,18901.541,-2911.541015625,2911.541015625,18.208511667448406,-18.208511667448406,Low
10999.0,11513.07,-514.0703125,514.0703125,4.673791367397036,-4.673791367397036,Low
18999.0,12108.596,6890.404296875,6890.404296875,36.26719457274067,36.26719457274067,Low
41990.0,39379.84,2610.16015625,2610.16015625,6.216147073708026,6.216147073708026,High
32900.0,31790.123,1109.876953125,1109.876953125,3.3734861797112465,3.3734861797112465,Mid
37990.0,37431.92,558.078125,558.078125,1.4690132271650436,1.4690132271650436,High
68880.0,55110.9,13769.1015625,13769.1015625,19.98998484683508,19.98998484683508,High
44990.0,45569.79,-579.7890625,579.7890625,1.2887065181151367,-1.2887065181151367,High
64990.0,58881.277,6108.72265625,6108.72265625,9.399480929758425,9.399480929758425,High
29990.0,31286.176,-1296.17578125,1296.17578125,4.322026613037679,-4.322026613037679,Mid
19995.0,18131.928,1863.072265625,1863.072265625,9.317690750812703,9.317690750812703,Low
54990.0,51293.55,3696.44921875,3696.44921875,6.722038950263684,6.722038950263684,High
6900.0,8262.8955,-1362.8955078125,1362.8955078125,19.752108808876812,-19.752108808876812,Low
63777.0,65731.05,-1954.046875,1954.046875,3.063873927905044,-3.063873927905044,High
21800.0,24174.588,-2374.587890625,2374.587890625,10.892605002866972,-10.892605002866972,Low
13577.0,15692.31,-2115.3095703125,2115.3095703125,15.580095531505487,-15.580095531505487,Low
98888.0,114037.12,-15149.1171875,15149.1171875,15.319469690457893,-15.319469690457893,High
41950.0,46176.754,-4226.75390625,4226.75390625,10.07569465137068,-10.07569465137068,High
23888.0,21015.457,2872.54296875,2872.54296875,12.02504591740623,12.02504591740623,Mid
44888.0,57224.223,-12336.22265625,12336.22265625,27.482228337751735,-27.482228337751735,High
26900.0,25386.68,1513.3203125,1513.3203125,5.625726068773234,5.625726068773234,Mid
14999.0,14761.394,237.6064453125,237.6064453125,1.5841485786552436,1.5841485786552436,Low
42990.0,42317.387,672.61328125,672.61328125,1.5645807891370087,1.5645807891370087,High
39999.0,35570.92,4428.078125,4428.078125,11.070472074301858,11.070472074301858,High
15249.0,19131.035,-3882.03515625,3882.03515625,25.457637590989574,-25.457637590989574,Low
75837.0,74852.38,984.6171875,984.6171875,1.298333514643248,1.298333514643248,High
34990.0,32806.914,2183.0859375,2183.0859375,6.239171013146613,6.239171013146613,Mid
24490.0,23299.977,1190.0234375,1190.0234375,4.859221876276031,4.859221876276031,Mid
12990.0,14411.943,-1421.943359375,1421.943359375,10.946446184565051,-10.946446184565051,Low
29980.0,36885.05,-6905.05078125,6905.05078125,23.03219073132088,-23.03219073132088,Mid
33750.0,37447.99,-3697.98828125,3697.98828125,10.957002314814815,-10.957002314814815,Mid
22990.0,23195.748,-205.748046875,205.748046875,0.8949458324271422,-0.8949458324271422,Mid
11988.0,12587.156,-599.15625,599.15625,4.997966716716717,-4.997966716716717,Low
16990.0,17586.242,-596.2421875,596.2421875,3.509371321365509,-3.509371321365509,Low
33990.0,37367.9,-3377.8984375,3377.8984375,9.937918321565165,-9.937918321565165,Mid
8250.0,12240.314,-3990.314453125,3990.314453125,48.36744791666667,-48.36744791666667,Low
20990.0,20748.969,241.03125,241.03125,1.148314673654121,1.148314673654121,Low
36490.0,36278.227,211.7734375,211.7734375,0.580360201425048,0.580360201425048,Mid
39280.0,39990.156,-710.15625,710.15625,1.8079334266802443,-1.8079334266802443,High
19995.0,21304.236,-1309.236328125,1309.236328125,6.547818595273819,-6.547818595273819,Low
57988.0,49082.215,8905.78515625,8905.78515625,15.357979506535834,15.357979506535834,High
62950.0,64999.824,-2049.82421875,2049.82421875,3.2562735802223983,-3.2562735802223983,High
20990.0,22324.014,-1334.013671875,1334.013671875,6.355472472010481,-6.355472472010481,Low
33990.0,30573.012,3416.98828125,3416.98828125,10.052922274933804,10.052922274933804,Mid
38800.0,34428.88,4371.12109375,4371.12109375,11.265776014819588,11.265776014819588,High
34900.0,36164.54,-1264.5390625,1264.5390625,3.6233210959885387,-3.6233210959885387,Mid
8990.0,10668.623,-1678.623046875,1678.623046875,18.672113980812014,-18.672113980812014,Low
39690.0,41689.8,-1999.80078125,1999.80078125,5.038550721214412,-5.038550721214412,High
20999.0,24896.303,-3897.302734375,3897.302734375,18.559468233606363,-18.559468233606363,Low
29990.0,30455.762,-465.76171875,465.76171875,1.5530567480826942,-1.5530567480826942,Mid
37913.0,39600.84,-1687.83984375,1687.83984375,4.451876252868409,-4.451876252868409,High
12975.0,12361.033,613.966796875,613.966796875,4.731921363198459,4.731921363198459,Low
22963.0,19004.88,3958.119140625,3958.119140625,17.236942649588467,17.236942649588467,Mid
58780.0,59232.273,-452.2734375,452.2734375,0.7694342250765566,-0.7694342250765566,High
25990.0,28925.14,-2935.140625,2935.140625,11.293345998460946,-11.293345998460946,Mid
99888.0,96815.31,3072.6875,3072.6875,3.076132768700945,3.076132768700945,High
18990.0,23609.809,-4619.80859375,4619.80859375,24.32758606503423,-24.32758606503423,Low
57888.0,49785.508,8102.4921875,8102.4921875,13.996842501900222,13.996842501900222,High
11990.0,7602.77,4387.22998046875,4387.22998046875,36.59074212234154,36.59074212234154,Low
29990.0,26399.47,3590.529296875,3590.529296875,11.972421796848948,11.972421796848948,Mid
31450.0,33584.902,-2134.90234375,2134.90234375,6.788242746422893,-6.788242746422893,Mid
18913.0,21620.705,-2707.705078125,2707.705078125,14.316634474303388,-14.316634474303388,Low
18000.0,24841.443,-6841.443359375,6841.443359375,38.00801866319444,-38.00801866319444,Low
60690.0,58355.395,2334.60546875,2334.60546875,3.846771245262811,3.846771245262811,High
72990.0,51192.094,21797.90625,21797.90625,29.864236539251955,29.864236539251955,High
32990.0,31829.623,1160.376953125,1160.376953125,3.517359663913307,3.517359663913307,Mid
66990.0,72199.586,-5209.5859375,5209.5859375,7.7766620950888194,-7.7766620950888194,High
25888.0,27548.184,-1660.18359375,1660.18359375,6.4129465147945,-6.4129465147945,Mid
10990.0,10441.47,548.5302734375,548.5302734375,4.991176282415832,4.991176282415832,Low
29880.0,32757.705,-2877.705078125,2877.705078125,9.63087375543842,-9.63087375543842,Mid
48500.0,54866.363,-6366.36328125,6366.36328125,13.126522229381443,-13.126522229381443,High
12999.0,10884.927,2114.0732421875,2114.0732421875,16.263352890126164,16.263352890126164,Low
34790.0,33698.51,1091.48828125,1091.48828125,3.1373621191434315,3.1373621191434315,Mid
51999.0,49461.375,2537.625,2537.625,4.8801419258062655,4.8801419258062655,High
18999.0,25876.2,-6877.19921875,6877.19921875,36.19769050344755,-36.19769050344755,Low
32999.0,33235.457,-236.45703125,236.45703125,0.7165581722173399,-0.7165581722173399,Mid
15988.0,14870.552,1117.4482421875,1117.4482421875,6.989293483784713,6.989293483784713,Low
112950.0,99350.2,13599.796875,13599.796875,12.040546148738379,12.040546148738379,High
47980.0,47582.746,397.25390625,397.25390625,0.827957286890371,0.827957286890371,High
10999.0,14871.828,-3872.828125,3872.828125,35.2107293844895,-35.2107293844895,Low
27998.0,29788.957,-1790.95703125,1790.95703125,6.396732021037217,-6.396732021037217,Mid
10990.0,13625.29,-2635.2900390625,2635.2900390625,23.978981247156504,-23.978981247156504,Low
24950.0,20440.521,4509.478515625,4509.478515625,18.07406218687375,18.07406218687375,Mid
9000.0,10168.041,-1168.041015625,1168.041015625,12.978233506944445,-12.978233506944445,Low
16995.0,14699.999,2295.0009765625,2295.0009765625,13.503977502574285,13.503977502574285,Low
92880.0,101705.95,-8825.953125,8825.953125,9.50253351098191,-9.50253351098191,High
13980.0,18693.975,-4713.974609375,4713.974609375,33.71941780668812,-33.71941780668812,Low
58900.0,41630.203,17269.796875,17269.796875,29.320537988115454,29.320537988115454,High
25990.0,29461.92,-3471.919921875,3471.919921875,13.358676113409004,-13.358676113409004,Mid
59800.0,48481.24,11318.76171875,11318.76171875,18.927695181856187,18.927695181856187,High
9985.0,9499.046,485.9541015625,485.9541015625,4.866841277541312,4.866841277541312,Low
37990.0,33361.023,4628.9765625,4628.9765625,12.184723775993682,12.184723775993682,High
19800.0,20877.217,-1077.216796875,1077.216796875,5.4404888731060606,-5.4404888731060606,Low
56490.0,44594.746,11895.25390625,11895.25390625,21.057273687820853,21.057273687820853,High
21950.0,23505.764,-1555.763671875,1555.763671875,7.087761603075171,-7.087761603075171,Low
38874.0,37916.574,957.42578125,957.42578125,2.4628949458506972,2.4628949458506972,High
56988.0,54501.613,2486.38671875,2486.38671875,4.363000489138065,4.363000489138065,High
43500.0,47025.867,-3525.8671875,3525.8671875,8.105441810344828,-8.105441810344828,High
10888.0,11224.572,-336.572265625,336.572265625,3.0912221310157975,-3.0912221310157975,Low
46990.0,48362.56,-1372.55859375,1372.55859375,2.920958914130666,-2.920958914130666,High
47980.0,46532.496,1447.50390625,1447.50390625,3.0168901755939976,3.0168901755939976,High
19990.0,21551.738,-1561.73828125,1561.73828125,7.812597705102552,-7.812597705102552,Low
12999.0,17228.467,-4229.466796875,4229.466796875,32.53686281156243,-32.53686281156243,Low
33490.0,32979.105,510.89453125,510.89453125,1.5255136794565543,1.5255136794565543,Mid
109900.0,120768.17,-10868.171875,10868.171875,9.889146383075524,-9.889146383075524,High
10990.0,10213.88,776.1201171875,776.1201171875,7.062057481232939,7.062057481232939,Low
57888.0,59500.188,-1612.1875,1612.1875,2.785011574074074,-2.785011574074074,High
27888.0,28954.48,-1066.48046875,1066.48046875,3.8241554387191625,-3.8241554387191625,Mid
28990.0,27997.209,992.791015625,992.791015625,3.424598191186616,3.424598191186616,Mid
33990.0,32466.59,1523.41015625,1523.41015625,4.481936323183289,4.481936323183289,Mid
48990.0,49550.516,-560.515625,560.515625,1.1441429373341498,-1.1441429373341498,High
56990.0,53907.24,3082.76171875,3082.76171875,5.409302893051413,5.409302893051413,High
30990.0,29064.814,1925.185546875,1925.185546875,6.21227991892546,6.21227991892546,Mid
10999.0,9900.734,1098.265625,1098.265625,9.985140694608601,9.985140694608601,Low
36990.0,39117.0,-2127.0,2127.0,5.750202757502028,-5.750202757502028,Mid
37990.0,36205.055,1784.9453125,1784.9453125,4.698460943669387,4.698460943669387,High
34888.0,25671.443,9216.556640625,9216.556640625,26.417555149693307,26.417555149693307,Mid
25850.0,24594.18,1255.8203125,1255.8203125,4.858105657640232,4.858105657640232,Mid
17990.0,13547.982,4442.017578125,4442.017578125,24.69159298568649,24.69159298568649,Low
72993.0,81440.95,-8447.953125,8447.953125,11.57364832929185,-11.57364832929185,High
52888.0,45231.414,7656.5859375,7656.5859375,14.476981427734078,14.476981427734078,High
168888.0,214839.22,-45951.21875,45951.21875,27.208101670929846,-27.208101670929846,High
110000.0,129928.45,-19928.453125,19928.453125,18.11677556818182,-18.11677556818182,High
20990.0,21310.922,-320.921875,320.921875,1.5289274654597427,-1.5289274654597427,Low
30790.0,28422.662,2367.337890625,2367.337890625,7.688658300178629,7.688658300178629,Mid
22990.0,18102.623,4887.376953125,4887.376953125,21.258707930078295,21.258707930078295,Mid
23888.0,20955.615,2932.384765625,2932.384765625,12.275555783761721,12.275555783761721,Mid
40990.0,46395.395,-5405.39453125,5405.39453125,13.187105467797021,-13.187105467797021,High
38990.0,43663.508,-4673.5078125,4673.5078125,11.986426808155938,-11.986426808155938,High
19990.0,18469.158,1520.841796875,1520.841796875,7.608012990870436,7.608012990870436,Low
23990.0,21654.568,2335.431640625,2335.431640625,9.73502142819925,9.73502142819925,Mid
316787.0,296085.75,20701.25,20701.25,6.534753635723687,6.534753635723687,High
56880.0,82392.164,-25512.1640625,25512.1640625,44.85260911128692,-44.85260911128692,High
47888.0,45372.215,2515.78515625,2515.78515625,5.253477188961744,5.253477188961744,High
33980.0,30195.15,3784.849609375,3784.849609375,11.13846265266333,11.13846265266333,Mid
53999.0,53009.098,989.90234375,989.90234375,1.8331864363228951,1.8331864363228951,High
13990.0,12273.807,1716.193359375,1716.193359375,12.267286342923517,12.267286342923517,Low
16413.0,19439.94,-3026.939453125,3026.939453125,18.44232896560653,-18.44232896560653,Low
31999.0,31252.36,746.640625,746.640625,2.3333248695271727,2.3333248695271727,Mid
7999.0,8923.535,-924.53515625,924.53515625,11.558134219902488,-11.558134219902488,Low
36990.0,32642.068,4347.931640625,4347.931640625,11.754343445863746,11.754343445863746,Mid
17990.0,18118.064,-128.064453125,128.064453125,0.7118646643968871,-0.7118646643968871,Low
60823.0,55255.73,5567.26953125,5567.26953125,9.15323073713891,9.15323073713891,High
5995.0,8337.765,-2342.7646484375,2342.7646484375,39.07864300979983,-39.07864300979983,Low
54280.0,56292.613,-2012.61328125,2012.61328125,3.7078358165991157,-3.7078358165991157,High
