Brand,n,MAE_AUD,median_price
Audi,88,8371.828058416193,41766.5
BMW,100,8466.651762695312,38859.0
Ford,205,6409.827603372713,28990.0
GWM,39,2698.6465344551284,38798.0
Holden,213,3534.4290662595363,18990.0
Honda,73,3165.004528306935,21995.0
Hyundai,257,2242.2891327973007,23990.0
Isuzu,46,5178.217730978261,38845.0
Jeep,60,7091.11884765625,31490.0
Kia,157,3348.4837654259554,24990.0
Land,46,14613.786302649456,57399.5
Lexus,36,5468.816107855902,49489.5
MG,73,1767.079837328767,26990.0
Mazda,236,3189.77292439089,27990.0
Mercedes-Benz,124,14177.029123613911,42990.0
Mitsubishi,199,2853.439629789573,26913.0
Nissan,224,3353.4826496669225,24894.0
Renault,35,3645.4485491071428,34300.0
Subaru,116,2820.4938838564117,27689.0
Suzuki,53,1960.921589401533,22900.0
Toyota,530,4527.488981426887,33689.0
Volkswagen,170,4105.750344669118,34990.0
Volvo,33,6599.428474195076,49990.0
