feature,importance_mean,importance_std
Year,0.3772011670560541,0.004681193890496288
Kilometres_EDA,0.0956964715235066,0.0010234024549398246
Engine,0.08499356578908486,0.0027759839297481275
DriveType,0.0816345688818206,0.0030168252024152524
Brand,0.07010947907448131,0.0013435514403859255
CylindersinEngine,0.06304646172849314,0.003661378897183215
FuelType,0.0387843774739459,0.002724963237934257
Kilometres,0.03219911281026336,0.0018147293919680016
Model,0.023877222818865618,0.000990222575404471
FuelConsumption,0.023323341587085315,0.0008795121134728095
BodyType,0.01595211295895943,0.001980788136081114
Location,0.010908877136054295,0.0010524069014339675
ColourExtInt,0.004289516808547717,0.0005917795485419319
Seats,0.004206196982616072,0.0002799356156464586
Transmission,0.003974563953368815,0.0006141481567910037
Car/Suv,0.0028973783386702146,0.0002571509850459724
Doors,0.00226331958571403,0.00019554942965492827
UsedOrNew,0.0009121918064143308,0.00025612009720253246
Title,4.065663541369391e-06,0.0001450269897016718
